train_loss,epoch,step,val_loss,val_mse,train_mse,test_mse
0.45394742488861084,0,49,,,,
,0,61,0.6217244267463684,0.6217244267463684,,
,0,61,,,0.7299191951751709,
0.8297059535980225,1,99,,,,
,1,123,0.5325694680213928,0.5325694680213928,,
,1,123,,,0.6112766861915588,
0.5276432037353516,2,149,,,,
,2,185,0.4658539295196533,0.4658539295196533,,
,2,185,,,0.5209794640541077,
0.30205175280570984,3,199,,,,
,3,247,0.41369375586509705,0.41369375586509705,,
,3,247,,,0.4543222188949585,
0.34160006046295166,4,249,,,,
0.5464944839477539,4,299,,,,
,4,309,0.372244268655777,0.372244268655777,,
,4,309,,,0.40215805172920227,
0.33794236183166504,5,349,,,,
,5,371,0.33855193853378296,0.33855193853378296,,
,5,371,,,0.3634195625782013,
0.10641684383153915,6,399,,,,
,6,433,0.3126443326473236,0.3126443326473236,,
,6,433,,,0.32936495542526245,
0.15483860671520233,7,449,,,,
,7,495,0.29148703813552856,0.29148703813552856,,
,7,495,,,0.30895301699638367,
0.24214783310890198,8,499,,,,
0.23674796521663666,8,549,,,,
,8,557,0.274536669254303,0.274536669254303,,
,8,557,,,0.29060664772987366,
0.22841334342956543,9,599,,,,
,9,619,0.2615872323513031,0.2615872323513031,,
,9,619,,,0.2749975025653839,
0.19804413616657257,10,649,,,,
,10,681,0.25143003463745117,0.25143003463745117,,
,10,681,,,0.2639082372188568,
0.8784890174865723,11,699,,,,
,11,743,0.24335439503192902,0.24335439503192902,,
,11,743,,,0.25704920291900635,
0.14307597279548645,12,749,,,,
0.2519943416118622,12,799,,,,
,12,805,0.2372281551361084,0.2372281551361084,,
,12,805,,,0.24757929146289825,
0.2953740954399109,13,849,,,,
,13,867,0.23207828402519226,0.23207828402519226,,
,13,867,,,0.24553684890270233,
0.17884975671768188,14,899,,,,
,14,929,0.22777806222438812,0.22777806222438812,,
,14,929,,,0.24468371272087097,
0.21142645180225372,15,949,,,,
,15,991,0.22425445914268494,0.22425445914268494,,
,15,991,,,0.24112293124198914,
0.09888897836208344,16,999,,,,
,16,1024,0.2389122098684311,0.2389122098684311,,
,16,1024,0.22425445914268494,0.22425445914268494,,
,16,1024,,,,0.25945454835891724
